position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	2.48e-05	0.999999	6.52809e-07	0.000247311	0.999753
N/A	2.48e-05	1	1.40808e-07	0.00380362	0.996196
N/A	2.48e-05	1	1.85089e-07	1.02245e-06	0.999999
N/A	2.48e-05	1	1.25291e-07	1.94333e-07	1
N/A	2.48e-05	1	1.15254e-07	1.04717e-06	0.999999
N/A	2.48e-05	1	1.17376e-07	2.13692e-07	1
N/A	2.48e-05	1	1.26553e-07	2.97853e-05	0.99997
N/A	2.48e-05	1	2.51048e-07	0.00448673	0.995513
N/A	2.48e-05	1	3.89171e-07	1.43893e-05	0.999986
N/A	2.48e-05	1	1.60652e-07	3.81715e-07	1
N/A	2.48e-05	1	3.94733e-07	6.31257e-05	0.999937
N/A	2.48e-05	1	2.91166e-07	2.39064e-05	0.999976
N/A	2.48e-05	1	1.43373e-07	0.000374644	0.999625
N/A	2.48e-05	1	2.30882e-07	1.7242e-06	0.999998
N/A	2.48e-05	1	1.38972e-07	3.32445e-07	1
N/A	2.48e-05	1	2.44343e-07	2.862e-05	0.999971
N/A	2.48e-05	1	1.78651e-07	3.81641e-05	0.999962
N/A	2.48e-05	1	1.31068e-07	0.00997418	0.990026
N/A	2.48e-05	1	1.69522e-07	5.00617e-07	0.999999
N/A	2.48e-05	1	1.4902e-07	0.000718084	0.999282
N/A	2.48e-05	1	1.11341e-07	0.00279348	0.997207
N/A	2.48e-05	1	1.58863e-07	1.5219e-05	0.999985
N/A	2.48e-05	1	2.77029e-07	0.000312317	0.999688
N/A	2.48e-05	1	1.53007e-07	2.98434e-06	0.999997
N/A	2.48e-05	1	1.75642e-07	1.12025e-07	1
N/A	2.48e-05	1	4.5017e-07	5.01585e-05	0.99995
N/A	2.48e-05	1	1.6998e-07	2.02508e-07	1
N/A	2.48e-05	1	1.00165e-07	0.000604477	0.999396
N/A	2.48e-05	1	1.11174e-07	0.00928127	0.990719
N/A	2.48e-05	1	1.90225e-07	1.74677e-06	0.999998
N/A	2.48e-05	1	1.21976e-07	7.85216e-06	0.999992
N/A	2.48e-05	1	4.61004e-07	1.51965e-06	0.999998
N/A	2.48e-05	1	1.20889e-07	1.20676e-05	0.999988
N/A	2.48e-05	1	1.4806e-07	0.00614581	0.993854
N/A	2.48e-05	1	1.09391e-07	0.00982025	0.99018
N/A	2.48e-05	1	1.61894e-07	0.000532479	0.999468
N/A	2.48e-05	1	1.18567e-07	1.06594e-06	0.999999
N/A	2.48e-05	1	1.47524e-07	5.73438e-05	0.999943
N/A	2.48e-05	1	2.16352e-07	0.000206425	0.999794
N/A	2.48e-05	1	3.51889e-07	0.000113847	0.999886
N/A	2.48e-05	1	1.87648e-07	2.42646e-05	0.999976
N/A	2.48e-05	1	1.63308e-07	6.61494e-07	0.999999
N/A	2.48e-05	1	1.83901e-07	1.08508e-05	0.999989
N/A	2.48e-05	1	1.21024e-07	1.04013e-06	0.999999
N/A	2.48e-05	1	1.94148e-07	3.16087e-05	0.999968
N/A	2.48e-05	1	1.02812e-07	4.19609e-07	1
N/A	2.48e-05	1	4.32804e-07	2.51541e-07	1
N/A	2.48e-05	1	1.04009e-07	3.10975e-06	0.999997
N/A	2.48e-05	1	4.24247e-07	1.12311e-05	0.999989
N/A	2.48e-05	1	4.9236e-07	1.80487e-06	0.999998
N/A	2.48e-05	1	1.22622e-07	0.0011233	0.998877
N/A	2.48e-05	1	1.59248e-07	1.28743e-05	0.999987
N/A	2.48e-05	1	1.23832e-07	0.000650537	0.999349
N/A	2.48e-05	1	1.61408e-07	3.99243e-05	0.99996
N/A	2.48e-05	1	2.56696e-07	5.27086e-07	0.999999
N/A	2.48e-05	1	4.26256e-07	2.11461e-07	1
N/A	2.48e-05	1	1.0179e-07	4.16932e-06	0.999996
N/A	2.48e-05	1	1.30288e-07	2.63231e-07	1
N/A	2.48e-05	1	1.60035e-07	4.95961e-07	1
N/A	2.48e-05	0.999999	5.12568e-07	1.69987e-06	0.999998
N/A	2.48e-05	1	3.87388e-07	2.22686e-07	1
N/A	2.48e-05	1	2.66542e-07	0.000461695	0.999538
N/A	2.48e-05	1	1.18599e-07	2.31648e-05	0.999977
N/A	2.48e-05	1	2.8133e-07	8.93256e-07	0.999999
N/A	2.48e-05	1	1.13963e-07	5.67703e-05	0.999943
N/A	2.48e-05	1	2.69463e-07	8.72808e-07	0.999999
N/A	2.48e-05	1	1.64481e-07	1.9826e-05	0.99998
